class,filename,image_path
vegetative,20260712_0846_vegetative_108_cdown.jpg,data/raw/vegetative/20260712_0846_vegetative_108_cdown.jpg
budding,20260328_1005_budding_47_rot45.jpg,data/raw/budding/20260328_1005_budding_47_rot45.jpg
full_bloom,20260727_1709_full_bloom_45_sdown.jpg,data/raw/full_bloom/20260727_1709_full_bloom_45_sdown.jpg
full_bloom,20260328_1059_full_bloom_93_sup.jpg,data/raw/full_bloom/20260328_1059_full_bloom_93_sup.jpg
wilting,20260814_1637_wilting_26.jpg,data/raw/wilting/20260814_1637_wilting_26.jpg
pre_bloom,20260731_1708_pre_bloom_91_cup.jpg,data/raw/pre_bloom/20260731_1708_pre_bloom_91_cup.jpg
seed_formation,20260727_1733_seed_formation_175_rot30.jpg,data/raw/seed_formation/20260727_1733_seed_formation_175_rot30.jpg
budding,20260328_1121_budding_190_bup.jpg,data/raw/budding/20260328_1121_budding_190_bup.jpg
full_bloom,flowerin_0000_full_bloom_154_bdown.jpg,data/raw/full_bloom/flowerin_0000_full_bloom_154_bdown.jpg
vegetative,20260328_1117_vegetative_77_sdown.jpg,data/raw/vegetative/20260328_1117_vegetative_77_sdown.jpg
seed_formation,20260328_1021_seed_formation_60_rot60.jpg,data/raw/seed_formation/20260328_1021_seed_formation_60_rot60.jpg
budding,20260328_1005_budding_38_cup.jpg,data/raw/budding/20260328_1005_budding_38_cup.jpg
full_bloom,20260715_1555_full_bloom_1_rot45.jpg,data/raw/full_bloom/20260715_1555_full_bloom_1_rot45.jpg
full_bloom,20260328_1115_full_bloom_139.jpg,data/raw/full_bloom/20260328_1115_full_bloom_139.jpg
wilting,20260814_1637_wilting_12_rot45.jpg,data/raw/wilting/20260814_1637_wilting_12_rot45.jpg
pre_bloom,20260731_1656_pre_bloom_79.jpg,data/raw/pre_bloom/20260731_1656_pre_bloom_79.jpg
vegetative,20260328_1032_vegetative_37_bup.jpg,data/raw/vegetative/20260328_1032_vegetative_37_bup.jpg
wilting,20260814_1646_wilting_39_sup.jpg,data/raw/wilting/20260814_1646_wilting_39_sup.jpg
pre_bloom,20260328_1043_pre_bloom_43_rot30.jpg,data/raw/pre_bloom/20260328_1043_pre_bloom_43_rot30.jpg
pre_bloom,20260727_1556_pre_bloom_48_bdown.jpg,data/raw/pre_bloom/20260727_1556_pre_bloom_48_bdown.jpg
pre_bloom,20260722_1743_pre_bloom_24_bdown.jpg,data/raw/pre_bloom/20260722_1743_pre_bloom_24_bdown.jpg
full_bloom,20260328_1052_full_bloom_64_bdown.jpg,data/raw/full_bloom/20260328_1052_full_bloom_64_bdown.jpg
full_bloom,20260727_1711_full_bloom_56_bup.jpg,data/raw/full_bloom/20260727_1711_full_bloom_56_bup.jpg
vegetative,20260712_0901_vegetative_121.jpg,data/raw/vegetative/20260712_0901_vegetative_121.jpg
vegetative,20260712_0843_vegetative_107_rot45.jpg,data/raw/vegetative/20260712_0843_vegetative_107_rot45.jpg
full_bloom,20260328_1013_full_bloom_8_rot45.jpg,data/raw/full_bloom/20260328_1013_full_bloom_8_rot45.jpg
full_bloom,20260328_1100_full_bloom_98_bdown.jpg,data/raw/full_bloom/20260328_1100_full_bloom_98_bdown.jpg
seed_formation,20260328_1042_seed_formation_121_cdown.jpg,data/raw/seed_formation/20260328_1042_seed_formation_121_cdown.jpg
seed_formation,20260731_1719_seed_formation_184_sdown.jpg,data/raw/seed_formation/20260731_1719_seed_formation_184_sdown.jpg
seed_formation,20260328_1040_seed_formation_96_rot45.jpg,data/raw/seed_formation/20260328_1040_seed_formation_96_rot45.jpg
full_bloom,20260328_1110_full_bloom_119_bup.jpg,data/raw/full_bloom/20260328_1110_full_bloom_119_bup.jpg
