sample_id,image_name,image_type,species,leaf_condition,leaf_count,plant_strength,disease_visible,flower_condition,suitability_label,image_path
id1,20260328_100120_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100120_HDR.jpg
id1,20260328_100122_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100122_HDR.jpg
id1,20260328_100123_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100123_HDR.jpg
id1,20260328_100126_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100126_HDR.jpg
id1,20260328_100128_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100128_HDR.jpg
id1,20260328_100130_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100130_HDR.jpg
id1,20260328_100132_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100132_HDR.jpg
id1,20260328_100134_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100134_HDR.jpg
id1,20260328_100139_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100139_HDR.jpg
id1,20260328_100141_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100141_HDR.jpg
id1,20260328_100144_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100144_HDR.jpg
id1,20260328_100147_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100147_HDR.jpg
id1,20260328_100149_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100149_HDR.jpg
id1,20260328_100154_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100154_HDR.jpg
id1,20260328_100157_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100157_HDR.jpg
id1,20260328_100158_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100158_HDR.jpg
id1,20260328_100200_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100200_HDR.jpg
id1,20260328_100202_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100202_HDR.jpg
id1,20260328_100204_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100204_HDR.jpg
id2,20260328_100220_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100220_HDR.jpg
id2,20260328_100222_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100222_HDR.jpg
id2,20260328_100224_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100224_HDR.jpg
id2,20260328_100226_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100226_HDR.jpg
id2,20260328_100229_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100229_HDR.jpg
id2,20260328_100231_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100231_HDR.jpg
id2,20260328_100233_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100233_HDR.jpg
id2,20260328_100236_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100236_HDR.jpg
id2,20260328_100239_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100239_HDR.jpg
id2,20260328_100243_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100243_HDR.jpg
id2,20260328_100245_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100245_HDR.jpg
id3,20260328_100258_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100258_HDR.jpg
id3,20260328_100300_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100300_HDR.jpg
id3,20260328_100302_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100302_HDR.jpg
id3,20260328_100304_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100304_HDR.jpg
id3,20260328_100308_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100308_HDR.jpg
id3,20260328_100351_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100351_HDR.jpg
id3,20260328_100354_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100354_HDR.jpg
id4,20260328_100551_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100551_HDR.jpg
id4,20260328_100554_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100554_HDR.jpg
id4,20260328_100557_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100557_HDR.jpg
id4,20260328_100559_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100559_HDR.jpg
id4,20260328_100601_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100601_HDR.jpg
id4,20260328_100603_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100603_HDR.jpg
id4,20260328_100607_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100607_HDR.jpg
id4,20260328_100615_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100615_HDR.jpg
id4,20260328_100618_HDR.jpg,plant,vanda,healthy,many,strong,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100618_HDR.jpg
id5,20260328_100623_HDR.jpg,plant,vanda,healthy,many,moderate,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100623_HDR.jpg
id5,20260328_100625_HDR.jpg,plant,vanda,healthy,many,moderate,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100625_HDR.jpg
id5,20260328_100629_HDR.jpg,plant,vanda,healthy,many,moderate,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100629_HDR.jpg
id5,20260328_100632_HDR.jpg,plant,vanda,healthy,many,moderate,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100632_HDR.jpg
id5,20260328_100637_HDR.jpg,plant,vanda,healthy,many,moderate,no,unknown,Suitable,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100637_HDR.jpg
id6,20260328_100646_HDR.jpg,plant,vanda,moderate,many,moderate,no,unknown,Moderate,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100646_HDR.jpg
id6,20260328_100649_HDR.jpg,plant,vanda,moderate,many,moderate,no,unknown,Moderate,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100649_HDR.jpg
id6,20260328_100654_HDR.jpg,plant,vanda,moderate,many,moderate,no,unknown,Moderate,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100654_HDR.jpg
id6,20260328_100658_HDR.jpg,plant,vanda,moderate,many,moderate,no,unknown,Moderate,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100658_HDR.jpg
id6,20260328_100745_HDR.jpg,plant,vanda,moderate,many,moderate,no,unknown,Moderate,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100745_HDR.jpg
id6,20260328_100747_HDR.jpg,plant,vanda,moderate,many,moderate,no,unknown,Moderate,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100747_HDR.jpg
id6,20260328_100750_HDR.jpg,plant,vanda,moderate,many,moderate,no,unknown,Moderate,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100750_HDR.jpg
id6,20260328_100759_HDR.jpg,plant,vanda,moderate,many,moderate,no,unknown,Moderate,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100759_HDR.jpg
id6,20260328_100802_HDR.jpg,plant,vanda,moderate,many,moderate,no,unknown,Moderate,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100802_HDR.jpg
id6,20260328_100806_HDR.jpg,plant,vanda,moderate,many,moderate,no,unknown,Moderate,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100806_HDR.jpg
id6,20260328_100810_HDR.jpg,plant,vanda,moderate,many,moderate,no,unknown,Moderate,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100810_HDR.jpg
id6,20260328_100813_HDR.jpg,plant,vanda,moderate,many,moderate,no,unknown,Moderate,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100813_HDR.jpg
id6,20260328_100817_HDR.jpg,plant,vanda,moderate,many,moderate,no,unknown,Moderate,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100817_HDR.jpg
id6,20260328_100820_HDR.jpg,plant,vanda,moderate,many,moderate,no,unknown,Moderate,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100820_HDR.jpg
id6,20260328_100824_HDR.jpg,plant,vanda,moderate,many,moderate,no,unknown,Moderate,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100824_HDR.jpg
id6,20260328_100827_HDR.jpg,plant,vanda,moderate,many,moderate,no,unknown,Moderate,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100827_HDR.jpg
id6,20260328_100833.jpg,plant,vanda,moderate,many,moderate,no,unknown,Moderate,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100833.jpg
id6,20260328_100835.jpg,plant,vanda,moderate,many,moderate,no,unknown,Moderate,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100835.jpg
id6,20260328_100838_HDR.jpg,plant,vanda,moderate,many,moderate,no,unknown,Moderate,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100838_HDR.jpg
id6,20260328_100843.jpg,plant,vanda,moderate,many,moderate,no,unknown,Moderate,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100843.jpg
id6,20260328_100845.jpg,plant,vanda,moderate,many,moderate,no,unknown,Moderate,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100845.jpg
id6,20260328_100847.jpg,plant,vanda,moderate,many,moderate,no,unknown,Moderate,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100847.jpg
id6,20260328_100849.jpg,plant,vanda,moderate,many,moderate,no,unknown,Moderate,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100849.jpg
id6,20260328_100851.jpg,plant,vanda,moderate,many,moderate,no,unknown,Moderate,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100851.jpg
id6,20260328_100855.jpg,plant,vanda,moderate,many,moderate,no,unknown,Moderate,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100855.jpg
id6,20260328_100902.jpg,plant,vanda,moderate,many,moderate,no,unknown,Moderate,C:\R26-SE-018\R26-SE-018\ml-models\hybrid_pollination\data\images\plants\20260328_100902.jpg
