leaf_area_px,isolation,coverage,hue_mean,hue_std,sat_mean,sat_std,val_mean,val_std,lab_a_mean,lab_b_mean,lab_a_std,lab_b_std,hue_below_med_frac,hue_iqr,val_iqr,sat_iqr,dark_rel_30,dark_rel_50,dark_rel_70,desat_rel_40,lesion_n_k9_c25,lesion_dens_k9_c25,lesion_n_k9_c40,lesion_dens_k9_c40,lesion_n_k15_c25,lesion_dens_k15_c25,lesion_n_k15_c40,lesion_dens_k15_c40,lesion_n_k25_c25,lesion_dens_k25_c25,lesion_n_k25_c40,lesion_dens_k25_c40,lap_var,edge_density,solidity,perim_area_ratio,sample_id,image_name,annotated
82140,0.9125754091257541,0.41778564453125,30.894521713256836,5.059863090515137,122.41822814941406,40.54117965698242,100.10447692871094,29.564125061035156,120.75684356689453,153.60084533691406,3.5142486095428467,10.626875877380371,0.01880934989043097,7.0,39.0,69.0,0.2151327002678354,0.06418310202093985,1.2174336498660823e-05,0.181263696128561,157,0.05085220355490626,57,0.015071828585342098,164,0.10642804967129292,129,0.0609082055028001,89,0.09175797419040663,138,0.09030922814706599,7583.0439453125,0.17791575359142928,0.6250151773263621,12.023452943115164,id1,20260328_100120_HDR.jpg,no
101173,0.8358641771315267,0.5145924886067709,30.072311401367188,6.1671881675720215,135.8590087890625,40.84914016723633,104.81633758544922,34.61492156982422,120.75433349609375,156.5405731201172,3.576195240020752,10.66427993774414,0.010882350034100007,5.0,40.0,63.0,0.18743142933391319,0.06967273877417889,3.953623990590375e-05,0.217291174522847,263,0.09144732290235537,136,0.03587913771460765,152,0.13039051920967057,190,0.1016180206181491,41,0.03442618089806569,148,0.11504057406620344,11328.251953125,0.22380477004734464,0.7567526445442689,9.105406115962163,id1,20260328_100126_HDR.jpg,no
112497,0.8248487736921216,0.5721893310546875,32.282432556152344,8.641033172607422,123.44011688232422,38.91146469116211,106.35694885253906,36.973731994628906,119.693603515625,154.41424560546875,4.462437152862549,11.30681324005127,0.009378027858520672,6.0,48.0,58.0,0.21460127825630906,0.064721725912691,0.00010666951118696498,0.16180875934469363,357,0.11746091006871294,206,0.042054454785460944,179,0.13131905739708613,262,0.12937233881792404,44,0.030294141177098055,120,0.07153079637679227,14140.310546875,0.2539623278842991,0.820375399718433,6.181766648390329,id1,20260328_100132_HDR.jpg,no
63141,0.9475793138637932,0.3211517333984375,31.87385368347168,6.014334678649902,113.4164047241211,33.3823127746582,117.0235366821289,26.32775115966797,119.50206756591797,155.35520935058594,3.3540377616882324,9.703648567199707,0.017658890419853978,6.0,28.0,51.0,0.14717853692529417,0.06860835273435643,0.005210560491598169,0.15916757732693496,81,0.03739250249441726,37,0.01534660521689552,91,0.06043616667458545,57,0.030788235853090703,72,0.07199759268937775,76,0.05052184792765398,8488.08984375,0.17060230278266103,0.5733074665051402,13.851407533819621,id1,20260328_100141_HDR.jpg,no
87954,0.9385764592892968,0.447357177734375,30.985151290893555,6.126716136932373,113.70751953125,34.53974533081055,115.3359146118164,27.887563705444336,120.28936767578125,154.96942138671875,3.4161500930786133,10.248401641845703,0.015655911044409578,5.0,39.0,56.0,0.16873593014530322,0.044716556381745,0.000864088046024058,0.18431225413284216,152,0.04792277781567637,62,0.015780976419492006,153,0.09856288514450735,111,0.05210678309116129,106,0.11176296700548013,127,0.08966050435454898,7483.1943359375,0.18159492461968757,0.7586901350798199,8.164287118297604,id1,20260328_100149_HDR.jpg,no
100979,0.7151031449836767,0.5136057535807291,29.714832305908203,4.4844160079956055,113.46694946289062,35.52676773071289,129.3536834716797,39.17616653442383,120.44395446777344,157.00355529785156,3.728713035583496,11.57827377319336,0.0069519405024807135,5.0,63.0,48.0,0.2415848839857792,0.10638845700591212,0.017577912239178442,0.09570306697432139,314,0.09655472920112103,147,0.038037611780667266,183,0.1625090365323483,242,0.12923479139226968,58,0.07360936432327514,156,0.16874795749611304,11815.8583984375,0.23093910615078383,0.8255728503111209,7.202662932780146,id1,20260328_100158_HDR.jpg,no
69357,0.8567352232721882,0.3527679443359375,31.829288482666016,4.83201789855957,93.38975524902344,25.947673797607422,131.50558471679688,29.667545318603516,119.75733947753906,152.81088256835938,2.5775904655456543,7.929132461547852,0.00735325922401488,5.0,41.0,34.0,0.15003532448058596,0.04047176204276425,0.002479922718687371,0.03787649408134723,60,0.025649898352004843,22,0.008074166991075162,99,0.06959643583199965,49,0.02821633000273945,72,0.08629265971711579,83,0.0681546202978791,3835.321533203125,0.14396528108193837,0.619088849566449,11.122140274195829,id2,20260328_100220_HDR.jpg,no
72320,0.8920575791590087,0.3678385416666667,31.805503845214844,5.05665922164917,91.84745788574219,25.786155700683594,132.09765625,29.824743270874023,119.84442901611328,152.55006408691406,2.728365659713745,8.153820991516113,0.008047566371681416,5.0,42.0,33.0,0.15524059734513274,0.03816371681415929,0.0010785398230088495,0.032425331858407076,88,0.032065818584070795,21,0.005835176991150442,109,0.09012721238938053,67,0.04123340707964602,80,0.1333241150442478,80,0.07426714601769911,3829.213623046875,0.14697179203539823,0.6090978235895324,13.077377277792547,id2,20260328_100222_HDR.jpg,no
66212,0.9095054945054946,0.3367716471354167,32.264678955078125,6.122970104217529,91.5845947265625,24.7891845703125,135.8367156982422,29.701065063476562,119.45443725585938,152.88812255859375,2.9881749153137207,8.014925956726074,0.007053102156708754,6.0,42.0,33.0,0.15278197305624358,0.04061197366036368,0.0027336434483175255,0.0316256871866127,59,0.02490485108439558,18,0.005844861958557361,87,0.05127469340904972,46,0.02780462755995892,80,0.08699329426690026,79,0.0640518335045007,4520.17919921875,0.1629009847157615,0.5811487120526845,15.598523662753312,id2,20260328_100224_HDR.jpg,no
69144,0.9453262786596119,0.3516845703125,33.17859649658203,6.660277843475342,90.04534149169922,23.50318145751953,138.75433349609375,27.73733901977539,118.7446060180664,152.7721710205078,3.3677494525909424,7.629873752593994,0.0054090015041073705,7.0,39.0,31.0,0.1317106328821011,0.02762351035520074,0.0009545296771954183,0.022402522272359133,58,0.019582320953372673,19,0.005148675228508619,97,0.0598895059585792,48,0.019726946662038645,82,0.07898009950248756,61,0.06652782598634734,4484.06103515625,0.14586948976049982,0.6482379045266065,13.567731975895843,id2,20260328_100226_HDR.jpg,no
75009,0.8477988132240746,0.3815155029296875,33.03394317626953,6.268385887145996,100.21026611328125,28.486557006835938,136.1466522216797,29.914825439453125,118.25926208496094,154.9338836669922,3.466996669769287,8.434381484985352,0.011211987894785959,6.0,43.0,41.0,0.14794224693036837,0.03391593008838939,0.002799664040315162,0.05303363596368436,68,0.02651681798184218,30,0.009052247063685692,90,0.060992680878294604,73,0.03843538775346959,64,0.07703075630924289,81,0.07639083310002799,5165.708984375,0.1538482048820808,0.5807397519161255,13.278132787157935,id2,20260328_100229_HDR.jpg,no
90155,0.8869158878504673,0.4585520426432292,32.67692184448242,5.67303991317749,105.6702880859375,31.794647216796875,127.82360076904297,31.598909378051758,118.55441284179688,155.08169555664062,3.5281035900115967,9.335227966308594,0.009949531362653209,6.0,45.0,45.0,0.16082302700904,0.043159003937662914,0.0012533969275137264,0.07431645499417669,112,0.03792357606344629,35,0.007930785868781542,125,0.10639454273196162,103,0.0439687205368532,75,0.08652875603127946,110,0.11505740114247684,5368.44384765625,0.15814985303089124,0.7015802276432253,10.148832082909424,id2,20260328_100231_HDR.jpg,no
128330,0.9076891520076955,0.6527201334635416,33.430625915527344,5.01658821105957,129.69830322265625,38.277530670166016,101.4695053100586,27.31247901916504,118.1906509399414,155.2668914794922,3.871890068054199,10.261337280273438,0.04763500350658459,8.0,33.0,52.0,0.08121249902594872,0.0033507363827631888,0.0,0.1599470116106912,269,0.06336008727499416,91,0.016535494428426712,263,0.14952855918335542,206,0.07056806670303124,127,0.09099976622769422,213,0.1477207200187018,7394.13671875,0.1884282708641783,0.8637879960502789,5.818361805530669,id3,20260328_100258_HDR.jpg,no
135396,0.9417214397496088,0.68865966796875,32.69537353515625,4.545907020568848,138.5129852294922,39.6175422668457,103.83003234863281,28.988767623901367,118.08210754394531,157.45535278320312,3.9462532997131348,10.651287078857422,0.05074743714733079,7.0,35.0,56.0,0.0913173210434577,0.007755029690685101,0.0,0.17208041596502113,301,0.07156045968861709,120,0.019498360365151114,272,0.14453898194924517,238,0.08567461372566398,96,0.081870956305947,215,0.14040296611421313,7413.06884765625,0.18784897633608083,0.8787994696869014,5.553136524296222,id3,20260328_100300_HDR.jpg,no
139077,0.936438252859942,0.7073822021484375,32.275875091552734,4.735046863555908,144.21987915039062,43.0195426940918,109.3155746459961,31.103792190551758,117.95491027832031,159.60401916503906,4.107430458068848,11.520136833190918,0.022426425649100856,8.0,39.0,62.0,0.1077388784630097,0.01713439317787988,0.0,0.21123550263523083,309,0.07139929679242434,137,0.026215693464771313,268,0.1278788009519906,252,0.09106466202175773,105,0.08291809573114174,212,0.11418135277580045,7708.6689453125,0.18767301566757982,0.8277860877034492,6.618750061629534,id3,20260328_100302_HDR.jpg,no
