feature,auc
dark_rel_70,0.7
lesion_n_k25_c40,0.6722222222222223
val_mean,0.6555555555555556
lab_b_mean,0.65
solidity,0.35
lap_var,0.36666666666666664
lesion_dens_k25_c40,0.6277777777777778
sat_mean,0.6222222222222222
perim_area_ratio,0.6111111111111112
edge_density,0.3888888888888889
dark_rel_50,0.6055555555555555
hue_mean,0.4
isolation,0.40555555555555556
hue_below_med_frac,0.4111111111111111
dark_rel_30,0.5888888888888889
lesion_dens_k25_c25,0.4111111111111111
leaf_area_px,0.5833333333333334
coverage,0.5833333333333334
lesion_n_k25_c25,0.5722222222222222
lesion_n_k15_c25,0.5694444444444444
lesion_dens_k9_c25,0.43333333333333335
lesion_dens_k9_c40,0.4388888888888889
val_iqr,0.5444444444444444
sat_std,0.5388888888888889
desat_rel_40,0.5388888888888889
lab_a_std,0.5277777777777778
sat_iqr,0.5277777777777778
lab_a_mean,0.5166666666666667
lesion_n_k9_c40,0.48333333333333334
lesion_n_k15_c40,0.5138888888888888
val_std,0.4888888888888889
lab_b_std,0.4888888888888889
lesion_dens_k15_c25,0.4888888888888889
lesion_n_k9_c25,0.49166666666666664
hue_iqr,0.5083333333333333
hue_std,0.5055555555555555
lesion_dens_k15_c40,0.5055555555555555
