sample_id,image_name,annotated,severity,confidence,screening_only,note,image_kind,lesion_count,spot_rate,dark_fraction,necrosis_ratio,leaf_area_px,isolation,coverage
id1,20260328_100120_HDR.jpg,no,0.5001,0.3194,True,Whole-plant CV cannot resolve lesions; see class docstring,plant,141,17.166,0.0,0.2044,82140,0.913,0.418
id1,20260328_100122_HDR.jpg,no,0.5,0.2987,True,Whole-plant CV cannot resolve lesions; see class docstring,plant,137,15.0,0.0,0.205,91334,0.853,0.465
id1,20260328_100123_HDR.jpg,no,0.4698,0.2981,True,Whole-plant CV cannot resolve lesions; see class docstring,plant,130,13.114,0.0,0.1827,99133,0.852,0.504
id1,20260328_100126_HDR.jpg,no,0.4184,0.2845,True,Whole-plant CV cannot resolve lesions; see class docstring,plant,86,8.74,0.0001,0.164,98394,0.813,0.5
id1,20260328_100128_HDR.jpg,no,0.5,0.2659,True,Whole-plant CV cannot resolve lesions; see class docstring,plant,101,10.459,0.0,0.2212,96564,0.76,0.491
id1,20260328_100130_HDR.jpg,no,0.4522,0.2807,True,Whole-plant CV cannot resolve lesions; see class docstring,plant,74,6.814,0.0,0.2137,108594,0.802,0.552
id1,20260328_100132_HDR.jpg,no,0.473,0.2915,True,Whole-plant CV cannot resolve lesions; see class docstring,plant,113,9.947,0.0001,0.1847,113598,0.833,0.578
id1,20260328_100134_HDR.jpg,no,0.3799,0.2855,True,Whole-plant CV cannot resolve lesions; see class docstring,plant,95,8.532,0.0001,0.1438,111347,0.816,0.566
id1,20260328_100139_HDR.jpg,no,0.3265,0.3177,True,Whole-plant CV cannot resolve lesions; see class docstring,plant,99,14.945,0.0003,0.1002,66242,0.908,0.337
id1,20260328_100141_HDR.jpg,no,0.3109,0.3312,True,Whole-plant CV cannot resolve lesions; see class docstring,plant,102,16.175,0.0052,0.0795,63062,0.946,0.321
id1,20260328_100144_HDR.jpg,no,0.2981,0.3246,True,Whole-plant CV cannot resolve lesions; see class docstring,plant,98,13.315,0.0015,0.0811,73602,0.927,0.374
